PSMA6 PSMA5 
PSMA6 PSMD14 
PSMA6 PSMB8 
PSMA6 PSMA7 
PSMA6 PSMD2 
PSMA6 PSMB5 
PSMB1 PSMC4 
PSMB1 PSMD8 
PSMB1 PSMA3 
PSMB1 PSMD7 
PSMB1 PSMA2 
PSMB1 PSMB7 
PSMB1 PSMC1 
PSMB1 PSMD6 
PSMB1 PSMA1 
PSMB1 PSMC6 
PSMB1 PSMB2 
PSMB1 PSMD1 
PSMB1 PSMB3 
PSMB1 PSMB6 
PSMB1 PSMC3 
PSMB1 PSMD3 
PSMB1 PSMD12 
PSMB1 PSMB10 
PSMB1 PSMD13 
PSMB1 PSMA5 
PSMB1 PSMD14 
PSMB1 PSMB8 
PSMB1 PSMA7 
PSMB1 PSMD2 
PSMB1 PSMB5 
PSMC4 PSMD6 
PSMC4 PSMA1 
PSMC4 PSMB7 
PSMC4 PSMC6 
PSMC4 PSMA2 
PSMC4 PSMA3 
PSMC4 PSMB2 
PSMC4 PSMD1 
PSMC4 PSMD10 
PSMC4 PSMB3 
PSMC4 PSMB6 
PSMC4 PSMC3 
PSMC4 PSMD8 
PSMC4 PSMD3 
PSMC4 PSMD12 
PSMC4 PSMD13 
PSMC4 PSMA5 
PSMC4 PSMD7 
PSMC4 PSMD14 
PSMC4 PSMB8 
PSMC4 PSMA7 
PSMC4 PSMC1 
PSMC4 PSMD2 
PSMC4 PSMB5 
PSMD6 PSMD8 
PSMD6 PSMA3 
PSMD6 PSMD7 
PSMD6 PSMA2 
PSMD6 PSMB7 
PSMD6 PSMC1 
PSMD6 PSMD3 
PSMD6 PSMA5 
PSMD6 PSMD1 
PSMD6 PSMD2 
PSMD6 PSMD12 
PSMD6 PSMB10 
PSMD6 PSMB5 
PSMD6 PSMA7 
PSMD6 PSMB2 
PSMD6 PSMB8 
PSMD6 PSMD14 
PSMD6 PSMD13 
PSMD6 PSMC6 
PSMD6 PSMA1 
PSMD6 PSMB3 
PSMD6 PSMC3 
PSMA1 PSMD8 
PSMA1 PSMA3 
PSMA1 PSMD7 
PSMA1 PSMA2 
PSMA1 PSMB7 
PSMA1 PSMC1 
PSMA1 PSMD3 
PSMA1 PSMB6 
PSMA1 PSMA5 
PSMA1 PSMD1 
