CYP51A1 LSS
ORC2 MCM2
ORC2 ORC3
ORC2 MCM3
ORC2 MCM4
ORC2 MCM10
PPP3R1 PPP3CC
PPP3R1 PPP3CA
ATP6V1B1 ATP6V1C2
ATP6V1B1 ATP6V1E1
ATP6V1B1 ATP6V1E2
ATP6V1B1 TCIRG1
ATP6V1B1 ATP6V1C1
ATP6V1B1 ATP6V1A
MSH6 PMS2
MSH6 PCNA
BCL9 CTNNB1
BCL9 PYGO1
WDR77 PRMT5
MAD2L2 REV3L
MAD2L2 REV1
VAMP4 STX16
VAMP4 STX6
VAMP4 VTI1A
SYF2 CDC5L
SYF2 CDC40
SYF2 PLRG1
SYF2 XAB2
SYF2 CRNKL1
SYF2 SNW1
APOA1 APOA2
ATIC GART
ADAT2 ADAT3
MED28 MED24
MED28 MED30
MED28 MED18
MED28 MED19
MED28 MED21
MED28 MED15
MED28 MED16
MED28 MED1
MED28 MED25
MED28 MED11
MED28 MED8
MED28 CCNC
MED28 CDK19
MED28 MED27
MED28 MED23
MED28 MED20
MED28 MED13
MED28 MED10
MED28 MED4
MED28 MED26
MED28 MED17
MED28 MED12
MED28 MED14
MED28 MED29
MED28 MED9
MED28 MED6
MED28 MED22
RPN2 DDOST
RPN2 DAD1
RPN2 STT3A
RPN2 STT3B
RPN2 RPN1
FGF23 KL
NDUFB3 NDUFA1
NDUFB3 NDUFS5
NDUFB3 NDUFA5
NDUFB3 NDUFS3
NDUFB3 NDUFA12
NDUFB3 NDUFA8
NDUFB3 NDUFA13
NDUFB3 NDUFS8
NDUFB3 NDUFB6
NDUFB3 NDUFV2
NDUFB3 NDUFC1
NDUFB3 NDUFS4
NDUFB3 NDUFA9
NDUFB3 NDUFA2
NDUFB3 NDUFB5
NDUFB3 NDUFA6
NDUFB3 NDUFS6
NDUFB3 NDUFAB1
CPSF3 SYMPK
CPSF3 CPSF2
CPSF3 CPSF1
CPSF3 WDR33
CPSF3 FIP1L1
VPS4B CHMP2B
VPS4B VTA1
VPS4B CHMP2A
TGFB3 TGFBR1
NFYB NFYC
NFYB NFYA
CCDC53 KIAA0196
CCDC53 KIAA1033
CCDC53 FAM21C
NCAPH NCAPG
NCAPH NCAPD2
NCAPH SMC4
NCAPH SMC2
MND1 PSMC3IP
MND1 RAD51
TNFSF10 TNFRSF10B
TNFSF10 TNFRSF10C
BBS9 BBS5
BBS9 BBS1
IFT81 IFT74
BHLHE41 PER2
SEC61A1 RPL9
SEC61A1 RPL11
SEC61A1 SEC61G
SEC61A1 RPL23A
SEC61A1 RPL23
SEC61A1 SEC63
SEC61A1 RPS14
SEC61A1 RPN1
SEC61A1 RPL26
SEC61A1 RPS15
SNRPA SNRPE
SNRPA SNRPA1
SNRPA SNRPG
SNRPA SNRPF
SNRPA SNRNP70
ACTR5 NFRKB
ACTR5 INO80
ACTR5 INO80E
ACTR5 RUVBL1
ACTR5 RUVBL2
ATP5E ATP5J
ATP5E ATP5I
ATP5E ATP5H
PLCG1 PDGFRB
MPHOSPH10 TBL3
MPHOSPH10 UTP15
MPHOSPH10 IMP3
MPHOSPH10 UTP6
MPHOSPH10 WDR36
MPHOSPH10 CIRH1A
MPHOSPH10 IMP4
MPHOSPH10 PDCD11
MPHOSPH10 NOP56
MPHOSPH10 PWP2
MPHOSPH10 DDX52
MPHOSPH10 UTP3
MPHOSPH10 NOP58
MPHOSPH10 NOL6
MPHOSPH10 UTP14A
MPHOSPH10 NOP14
MPHOSPH10 BMS1
MPHOSPH10 WDR43
SNRPC SNRPD2
SNRPC SNRPE
SNRPC SNRPB
SNRPC SNRPG
SNRPC SNRPF
SNRPC SNRNP70
SSR1 SSR3
EMC3 EMC9
EMC3 EMC8
EMC3 EMC4
EMC3 EMC1
BBS2 BBS7
BBS2 BBS1
EFNB2 EPHB4
EFNB2 EPHA5
EFNB2 EPHB2
EFNB2 EPHA4
MRPS7 MRPS9
MRPS7 MRPS11
MRPS7 MRPL17
MRPS7 MRPL16
MRPS7 MRPL2
MRPS7 MRPS16
MRPS7 MRPS15
MRPS7 MRPS2
MRPS7 MRPS5
MRPS7 MRPL13
NUP85 SEH1L
NUP85 NUP160
NUP85 NUP98
NUP85 SEC13
NUP85 NUP133
NUP85 NUP43
CLPP CLPX
TNFSF9 TNFRSF9
THOC2 THOC1
THOC2 NCBP1
THOC2 DDX39B
THOC2 THOC7
THOC2 ALYREF
THOC2 THOC6
THOC2 THOC3
THOC2 THOC5
C3 CFH
VASP ENAH
VASP EVL
SYMPK WDR33
SYMPK CPSF4
SYMPK CPSF2
SYMPK CPSF1
SNRPB2 SF3B3
SNRPB2 SF3B1
SNRPB2 SNRPE
SNRPB2 PRPF31
SNRPB2 SNRPA1
SNRPB2 SNRPG
SNRPB2 SNRPF
SNRPB2 SNRPD1
FNTB FNTA
UBA2 SUMO1
UBA2 SAE1
UBA2 UBE2I
COX6B1 MT-CO2
COX6B1 COX5A
COX6B1 COX6C
COX6B1 COX5B
ATG14 BECN1
TRAF2 TNF
TRAF2 BIRC3
TRAF2 RIPK1
YEATS4 DMAP1
GNG13 GNB1
EIF3K EIF3C
EIF3K EIF3G
EIF3K EIF3F
EIF3K EIF3B
EIF3K EIF3H
EIF3K EIF3I
EIF3K EIF3A
EIF3K EIF3M
EIF3K EIF3L
GNG11 GNB1
GNGT1 GNB2
GNGT1 GNB1
GNGT1 GNB5
TUBGCP6 TUBGCP2
TUBGCP6 TUBG1
TUBGCP6 MZT1
PMPCB PMPCA
LSM8 SF3B5
LSM8 PRPF3
LSM8 LSM5
LSM8 SNRPD2
LSM8 SNRPE
LSM8 PRPF31
LSM8 LSM4
LSM8 SNRPB
LSM8 EFTUD2
LSM8 LSM6
LSM8 SNRNP200
LSM8 SNRPG
LSM8 LSM3
LSM8 SNRPF
LSM8 SNRPD1
LSM8 LSM7
LSM8 LSM2
SNAP23 STX3
SNAP23 STX2
SNAP23 STX4
SNAP23 VAMP8
SNAP23 VAMP2
COPB1 COPA
COPB1 COPB2
COPB1 ARCN1
COPB1 COPG2
COPB1 COPG1
COPB1 COPZ1
COPB1 COPE
NEDD8 CUL5
NEDD8 DCUN1D1
NEDD8 CUL1
NEDD8 UBA3
NEDD8 SENP8
NEDD8 UBE2M
DAD1 DDOST
LMAN1 MCFD2
TUBG1 TUBGCP3
TUBG1 MZT1
RPS16 RPL28
RPS16 RPS18
RPS16 RPLP2
RPS16 RPS4X
RPS16 RPL13
RPS16 RPS17
RPS16 RPS28
RPS16 RPS3
RPS16 RPL34
RPS16 RPL39
RPS16 RPL7
RPS16 GNB2L1
RPS16 RPS3A
RPS16 EIF3G
RPS16 RPL11
RPS16 RPL3
RPS16 RPL10
RPS16 RPL27
RPS16 RPL7A
RPS16 RPL21
RPS16 RPL31
RPS16 RPL24
RPS16 RPSA
RPS16 RPS29
RPS16 RPL26L1
RPS16 RPL27A
RPS16 FAU
RPS16 RPL23A
RPS16 RPL4
RPS16 RPL30
RPS16 RPS24
RPS16 RPS27A
RPS16 RPL35
RPS16 RPL8
RPS16 RPS15A
RPS16 RPL23
RPS16 RPS6
RPS16 RPS27L
RPS16 RPS13
RPS16 RPL10L
RPS16 RPL36
RPS16 RPL38
RPS16 RPS9
RPS16 RPL37A
RPS16 RPL35A
RPS16 RPS23
RPS16 RPL36A
RPS16 RPL32
RPS16 RPS7
RPS16 RPL10A
RPS16 RPS25
RPS16 RPS14
RPS16 RPL5
RPS16 RPL15
RPS16 EIF3M
RPS16 RPS20
RPS16 RPL22
RPS16 RPL17
RPS16 RPS21
RPS16 RPLP0
RPS16 RPLP1
RPS16 RPL14
RPS16 RPL12
RPS16 RPL9
RPS16 RPS8
RPS16 RPS27
RPS16 EEF2
RPS16 RPL13A
RPS16 UBA52
RPS16 RPS10
RPS16 RPL18
RPS16 RPL26
RPS16 RPS26
RPS16 EEF1A1
RPS16 RPL37
RPS16 RPS2
RPS16 RPS19
RPS16 RPL29
RPS16 RPS15
RPS16 RPL3L
RPS16 RPS5
RPS16 RPS11
RPS16 RPL6
NCAPG CDK1
NCAPG NCAPD2
NCAPG SMC4
NCAPG SMC2
RRM2B RRM1
RAF1 HRAS
MED17 MED18
MED17 MED1
MED17 MED12
TSG101 VPS37B
TSG101 VPS28
NDUFA2 NDUFA1
NDUFA2 MT-ND1
NDUFA2 NDUFA7
NDUFA2 NDUFS5
NDUFA2 NDUFA10
NDUFA2 NDUFA5
NDUFA2 NDUFS2
NDUFA2 NDUFS3
NDUFA2 NDUFA12
NDUFA2 NDUFA8
NDUFA2 MT-ND4
NDUFA2 NDUFA13
NDUFA2 NDUFA3
NDUFA2 NDUFS8
NDUFA2 NDUFB6
NDUFA2 NDUFS1
NDUFA2 NDUFV2
NDUFA2 NDUFB9
NDUFA2 NDUFC1
NDUFA2 NDUFS4
NDUFA2 NDUFA9
NDUFA2 NDUFB2
NDUFA2 NDUFV3
NDUFA2 NDUFB8
NDUFA2 NDUFB11
NDUFA2 NDUFB5
NDUFA2 NDUFB10
NDUFA2 NDUFA6
NDUFA2 NDUFC2
NDUFA2 NDUFS6
NDUFA2 NDUFAB1
NDUFA2 NDUFV1
NDUFA2 NDUFA11
NDUFA2 NDUFA4
KRT1 KRT10
MRPL34 MRPL41
LSM7 LSM5
LSM7 SNRPD2
LSM7 SNRPE
LSM7 LSM4
LSM7 LSM6
LSM7 LSM3
LSM7 SNRPF
LSM7 SNRPD1
LSM7 LSM1
LSM7 LSM2
ACTN4 ACTN1
NDUFA10 NDUFS2
NDUFA10 NDUFS3
NDUFA10 NDUFV2
NDUFA10 NDUFB9
NDUFA10 NDUFA9
NDUFA10 NDUFB5
NDUFA10 NDUFB10
NDUFA10 NDUFA7
NDUFA10 NDUFA8
NDUFA10 NDUFS1
NDUFA10 NDUFB8
NDUFA10 NDUFA6
NDUFA10 NDUFV1
JUND FOS
TAF4 TBP
TAF4 TAF5
TAF4 TAF6
TAF4 TAF12
TAF4 TAF2
TAF4 TAF11
TAF4 TAF10
TAF4 TAF7
UBE2M DCUN1D1
UBE2M CUL1
UBE2M UBA3
EIF2S3 EIF3G
EIF2S3 RPSA
EIF2S3 EIF2S1
EIF2S3 EIF2S2
SESN2 WDR24
SESN2 WDR59
SESN2 MIOS
MRPL4 MRPL19
MRPL4 DAP3
MRPL4 MRPL38
MRPL4 MRPL22
MRPL4 MRPL18
MRPL4 MRPL11
MRPL4 MRPL43
MRPL4 MRPL9
MRPL4 MRPL47
MRPL4 MRPS9
MRPL4 MRPL15
MRPL4 MRPL40
MRPL4 MRPL24
MRPL4 MRPL17
MRPL4 MRPL1
MRPL4 MRPL3
MRPL4 MRPL16
MRPL4 MRPL2
MRPL4 MRPL20
MRPL4 MRPL46
MRPL4 MRPL44
MRPL4 MRPS15
MRPL4 MRPS5
MRPL4 MRPL13
MRPL4 MRPL41
EIF3G EIF3C
EIF3G RPS28
EIF3G RPS3
EIF3G EIF3F
EIF3G EIF3B
EIF3G RPSA
EIF3G RPS6
EIF3G EIF3H
EIF3G EIF3I
EIF3G EIF3A
EIF3G EIF3J
EIF3G EIF3M
EIF3G EIF3L
ATP6V1E1 ATP6V1F
ATP6V1E1 ATP6V1B2
ATP6V1E1 ATP6V1H
GINS2 MCM7
GINS2 CDC45
GINS2 MCM2
GINS2 GINS4
GINS2 GINS3
GINS2 MCM4
GINS2 GINS1
MRPS25 MRPS14
MRPS25 MRPS16
ZFYVE20 VPS45
VPS25 VPS36
VPS25 SNF8
VPS25 CHMP6
RAMP2 CALCRL
EXOC4 EXOC1
EXOC4 EXOC7
EXOC4 EXOC3
EXOC4 EXOC5
EXOC4 EXOC8
EXOC4 EXOC6
PRKAB2 PRKAG2
PRKAB2 PRKAG1
PRKAB2 PRKAA1
PRKAB2 PRKAA2
SNRPA1 PRPF8
SNRPA1 SNRPE
SNRPA1 PRPF31
SNRPA1 CDC5L
SNRPA1 SNRPB
SNRPA1 EFTUD2
SNRPA1 PLRG1
SNRPA1 SNRNP200
SNRPA1 SNRPG
SNRPA1 SNRPF
SNRPA1 XAB2
SNRPA1 SF3B5
SNRPA1 SF3A3
SNRPA1 SF3B3
SNRPA1 SF3B1
SNRPA1 SNRPD2
SNRPA1 CDC40
SNRPA1 SART1
SNRPA1 SNRPD1
SNRPA1 SNW1
SNRPA1 BUD31
DNAJB1 HSPA4
DNAJB1 HSPA8
SMARCC1 SMARCA4
SMARCC1 SMARCA2
SMARCC1 SMARCB1
PTCD3 MRPS31
PTCD3 MRPS22
PTCD3 DAP3
PTCD3 MRPS18B
PTCD3 MRPS23
PTCD3 MRPS9
PTCD3 MRPS2
PER2 CRY2
RAMP1 CALCRL
RPA1 STRA13
RPA1 MCM6
RPA1 SMARCAL1
RPA1 TOP3A
RPA1 PRIMPOL
RPA1 RPA2
RPA1 BLM
RPA1 FANCG
RPA1 RAD52
RPA1 CLSPN
RPA1 FANCM
RPA1 APITD1
RPA1 TIMELESS
RPA1 MCM2
RPA1 PCNA
RPA1 TIPIN
RPA1 FANCA
RPA1 RMI1
RPA1 MCM4
RPA1 WRN
UTP3 IMP3
UTP3 WDR46
UTP3 UTP6
UTP3 IMP4
UTP3 UTP11L
UTP3 DIEXF
UTP3 NOP14
UTP3 BMS1
GUCY2D GUCA1A
TERF2 NBN
TERF2 TINF2
TERF2 TERF2IP
VPS4A CHMP1A
VPS4A CHMP6
VPS4A CHMP2A
SNAP25 SYT1
SNAP25 VAMP2
NXT1 NXF1
AP3B1 AP3M1
AP3B1 AP3D1
AP3B1 AP3S1
CCNA1 CDKN1A
MED10 MED18
MED10 MED11
MED10 MED8
MED10 MED7
MED10 MED12
MED10 MED14
MED10 MED6
NTS NTSR1
EIF2S1 RPS4X
EIF2S1 EIF3B
EIF2S1 EIF2AK4
EIF2S1 EIF2S2
EIF2S1 RPS8
ELP3 ELP2
ELP3 ELP4
ELP3 IKBKAP
MBD2 GATAD2A
CCNB1 CDK1
CCNB1 FZR1
CCNB1 CDC20
CCNB1 CCNB2
CCNB1 CDK2
CCNB1 ANAPC10
CCNB1 ANAPC4
CCNB1 PLK1
CCNB1 CKS2
CCNB1 CDC27
CCNB1 ESPL1
CCNB1 CDC25C
CDK7 ERCC2
CDK7 CCNH
CDK7 GTF2H1
CDK7 ERCC3
CDK7 MNAT1
CD180 LY86
IRAK2 MYD88
VHL TCEB1
VHL HIF1A
VHL CUL2
LAMTOR5 RRAGD
LAMTOR5 SLC38A9
LAMTOR5 MTOR
LAMTOR5 LAMTOR3
LAMTOR5 RPTOR
LAMTOR5 LAMTOR1
LAMTOR5 RRAGC
LAMTOR5 LAMTOR4
LAMTOR5 LAMTOR2
LAMTOR5 RRAGB
LAMTOR5 RRAGA
NOTCH2 MAML3
NOTCH2 MAML2
CCNH GTF2H4
CCNH ERCC2
CCNH GTF2H5
CCNH GTF2H2
CCNH GTF2H1
CCNH GTF2H3
CCNH ERCC3
CCNH MNAT1
DDB2 DDB1
TIMM10 TIMM9
TIMM10 TIMM8A
APC CTNNB1
APC AXIN1
OASL MX1
ORC3 MCM7
ORC3 ORC4
ORC3 ORC1
ORC3 ORC5
ORC3 MCM2
ORC3 MCM4
LMO2 GATA1
LMO2 LDB1
LMO2 TAL1
CDK4 CDKN2A
CDK4 CCNA2
CDK4 CCNE1
CDK4 CCND3
CDK4 RB1
CDK4 CDKN1A
CDK4 CCND2
ESPL1 PTTG1
ESPL1 CDC20
CCT7 CCT8
CCT7 CCT6A
CCT7 CCT6B
CCT7 CCT3
CCT7 CCT4
CCT7 CCT2
CCT7 CCT5
CCT7 TCP1
MDM2 TP53
MPHOSPH6 EXOSC2
MPHOSPH6 EXOSC3
MPHOSPH6 EXOSC6
MPHOSPH6 EXOSC8
MPHOSPH6 EXOSC1
MPHOSPH6 EXOSC7
DYNC1LI2 DYNC1H1
STX6 VPS51
STX6 VTI1A
MRPL44 MRPL43
MRPL44 MRPL47
MRPL44 MRPS16
MRPL44 MRPL19
MRPL44 MRPL13
CAB39 MST4
CAB39 STK11
CAB39 STRADA
COX5B CYCS
COX5B MT-CO2
COX5B COX7C
COX5B COX5A
COX5B COX6C
COX5B COX4I1
REV1 REV3L
MRPS9 MRPL19
MRPS9 DAP3
MRPS9 MRPS18B
MRPS9 MRPS23
MRPS9 MRPS14
MRPS9 MRPL43
MRPS9 MRPL9
MRPS9 MRPS6
MRPS9 MRPS11
MRPS9 MRPL15
MRPS9 MRPL40
MRPS9 MRPL17
MRPS9 MRPL3
MRPS9 MRPL21
MRPS9 MRPS16
MRPS9 MRPS15
MRPS9 MRPS2
MRPS9 MRPS5
MRPS9 MRPL13
MED4 MED18
MED4 MED1
MED4 MED12
COG3 COG2
COG3 COG8
COG3 COG7
COG3 COG1
COG3 COG4
COG3 COG5
COG3 COG6
IGF2BP3 IGF2BP1
HUS1 RAD1
HUS1 RAD9A
SRSF1 HNRNPA1
SRSF1 RBM8A
SRSF1 SRSF3
SRSF1 SRSF7
SRSF1 ALYREF
SRSF1 HNRNPA2B1
SRSF1 TRA2B
SRSF1 SNRNP70
KAT7 ING5
NDUFB5 NDUFS5
NDUFB5 NDUFA5
NDUFB5 NDUFS2
NDUFB5 NDUFS3
NDUFB5 NDUFA12
NDUFB5 NDUFA8
NDUFB5 MT-ND4
NDUFB5 NDUFS8
NDUFB5 NDUFB6
NDUFB5 NDUFS1
NDUFB5 NDUFV2
NDUFB5 NDUFB9
NDUFB5 MT-ND5
NDUFB5 NDUFC1
NDUFB5 NDUFS4
NDUFB5 NDUFA9
NDUFB5 NDUFB2
NDUFB5 NDUFB1
NDUFB5 NDUFB8
NDUFB5 NDUFB10
NDUFB5 NDUFA6
NDUFB5 NDUFC2
NDUFB5 NDUFS6
NDUFB5 NDUFAB1
NDUFB5 NDUFA11
IMP4 IMP3
IMP4 RCL1
IMP4 NOP56
ORM1 ORM2
STX17 VAMP8
PSMB7 PSMC5
PSMB7 PSMC2
PSMB7 PSMD11
PSMB7 PSMD4
PSMB7 PSMB4
PSMB7 PSMA6
PSMB7 PSMB1
PSMB7 PSMD6
PSMB7 PSMA1
PSMB7 PSMC6
PSMB7 PSMB2
PSMB7 PSMD1
PSMB7 PSMB3
PSMB7 PSMB6
PSMB7 PSMC3
PSMB7 PSMD3
PSMB7 PSMD12
PSMB7 PSMD13
PSMB7 PSMA5
PSMB7 PSMD14
PSMB7 PSMA7
PSMB7 PSMC1
PSMB7 PSMD2
PSMB7 PSMB5
PDCL GNB2
PDCL GNB5
PDCL GNB1
RPL35 RPL28
RPL35 RPS18
RPL35 RPLP2
RPL35 RPS4X
RPL35 RPL13
RPL35 RPS17
RPL35 RPS28
RPL35 RPS3
RPL35 RPL34
RPL35 RPL39
RPL35 RPL7
RPL35 GNB2L1
RPL35 RPS3A
RPL35 RPL11
RPL35 RPL3
RPL35 RPL10
RPL35 RPL27
RPL35 RPL7A
RPL35 RPL21
RPL35 RPL31
RPL35 RPL24
RPL35 RPSA
RPL35 RPS29
RPL35 RPL26L1
RPL35 RPL27A
RPL35 FAU
RPL35 RPL23A
RPL35 RPL4
RPL35 RPL30
RPL35 RPS24
RPL35 RPS27A
RPL35 RPL8
RPL35 RPS15A
RPL35 RPL23
RPL35 RPS6
RPL35 RPS13
RPL35 RPL10L
RPL35 RPL36
RPL35 RPL38
RPL35 RPS9
RPL35 RPL37A
RPL35 RPL35A
RPL35 RPS23
RPL35 RPL36A
RPL35 RPL32
RPL35 RPS7
RPL35 RPL10A
RPL35 RPS25
RPL35 RPS14
RPL35 RPL5
RPL35 RPL15
RPL35 RPS20
RPL35 RPL22
RPL35 RPL17
RPL35 RPS21
RPL35 RPLP0
RPL35 RPLP1
RPL35 RPL14
RPL35 RPL12
RPL35 RPL9
RPL35 RPS8
RPL35 RPS27
RPL35 RPL13A
RPL35 UBA52
RPL35 RPS10
RPL35 RPL18
RPL35 RPL26
RPL35 RPS26
RPL35 RPL37
RPL35 RPS2
RPL35 RPS19
RPL35 RPL29
RPL35 RPS15
RPL35 RPS5
RPL35 RPS11
RPL35 RPL6
DERL1 VCP
RIPK1 TNF
RIPK1 IKBKG
RIPK1 TAB2
RIPK1 TRADD
MRPS18B MRPS31
MRPS18B MRPS22
MRPS18B DAP3
MRPS18B MRPS18A
MRPS18B MRPS2
GTF2H4 ERCC2
GTF2H4 GTF2B
GTF2H4 GTF2H5
GTF2H4 GTF2H2
GTF2H4 GTF2H1
GTF2H4 GTF2H3
GTF2H4 ERCC3
GTF2H4 MNAT1
GTF2H4 GTF2E1
POU5F1 SOX2
MRPL15 MRPL19
MRPL15 MRPL11
MRPL15 MRPL9
MRPL15 MRPL47
MRPL15 MRPL40
MRPL15 MRPL24
MRPL15 MRPL17
MRPL15 MRPL3
MRPL15 MRPL16
MRPL15 MRPL20
MRPL15 MRPL46
MRPL15 MRPL13
SDCBP SDC4
FDX1 FDXR
NDUFAF1 ECSIT
KIF23 RACGAP1
KIF23 PLK1
TUBGCP4 TUBGCP5
TUBGCP4 MZT1
RSL24D1 NSA2
KIF11 CDK1
EXOC6 EXOC7
EXOC6 EXOC3
EXOC6 EXOC5
EXOC6 EXOC8
BARD1 FAM175A
WDR12 EBNA1BP2
WDR12 BOP1
WDR12 PES1
ITGAV ITGB3
ASUN INTS6
ASUN INTS5
ASUN INTS1
ASUN INTS3
MNAT1 GTF2H2
MNAT1 ERCC2
MNAT1 GTF2H1
MNAT1 GTF2H3
MNAT1 ERCC3
CCND2 CDKN1A
PSMC1 PSMB9
PSMC1 PSMC5
PSMC1 PSMC2
PSMC1 PSMD11
PSMC1 PSMD4
PSMC1 PSMB4
PSMC1 PSMA6
PSMC1 PSMB1
PSMC1 USP14
PSMC1 PSMD6
PSMC1 PSMA1
PSMC1 PSMC6
PSMC1 PSMB2
PSMC1 PSMD1
PSMC1 PSMB3
PSMC1 PSMB6
PSMC1 PSMC3
PSMC1 PSMD3
PSMC1 PSMD12
PSMC1 PSMD13
PSMC1 PSMA5
PSMC1 PSMD14
PSMC1 PSMB8
PSMC1 PSMA7
PSMC1 ADRM1
PSMC1 PSMD2
PSMC1 PSMB5
NUP133 NUP160
NUP133 NUP98
NUP133 SEC13
NUP133 NUP43
UBE2K UBC
PSMA6 PSMB9
PSMA6 PSMC5
PSMA6 PSMC2
PSMA6 PSMD11
PSMA6 PSMD4
PSMA6 PSMB4
PSMA6 PSMB1
PSMA6 PSMD6
PSMA6 PSMA1
PSMA6 PSMC6
PSMA6 PSMB2
PSMA6 PSMD1
PSMA6 PSMB3
PSMA6 PSMB6
PSMA6 PSMC3
PSMA6 PSMD3
PSMA6 PSMD12
PSMA6 PSMB10
PSMA6 PSMA5
PSMA6 PSMD14
PSMA6 PSMB8
PSMA6 PSMA7
PSMA6 PSMD2
PSMA6 PSMB5
MSMO1 NSDHL
SNW1 DHX8
SNW1 PPIL1
SNW1 SNRPD2
SNW1 CDC5L
SNW1 EFTUD2
SNW1 CDC40
SNW1 PLRG1
SNW1 SNRNP200
SNW1 XAB2
SNW1 CRNKL1
PALB2 BRCA2
NDC80 CDK1
NDC80 SPC25
NDC80 AURKB
NDC80 MAD2L1
NDC80 BUB1
NDC80 ZWINT
NDC80 CDC20
NDC80 NUF2
NDC80 CASC5
NDC80 CENPE
NDC80 SPC24
NDC80 BUB1B
THOC1 THOC7
THOC1 THOC6
THOC1 THOC3
THOC1 THOC5
USP14 PSMC5
USP14 PSMC2
USP14 PSMD1
USP14 PSMD11
USP14 PSMD4
USP14 PSMC3
USP14 PSMD3
USP14 PSMD12
USP14 PSMD13
USP14 PSMD6
USP14 PSMD14
USP14 PSMC6
USP14 PSMD2
UTP20 HEATR1
UTP20 NOL6
UTP20 BMS1
MPP5 INADL
C14ORF166 FAM98B
C14ORF166 DDX1
UTP6 TBL3
UTP6 UTP15
UTP6 WDR46
UTP6 WDR36
UTP6 DCAF13
UTP6 CIRH1A
UTP6 WDR3
UTP6 PWP2
UTP6 HEATR1
UTP6 NOL6
UTP6 NOP14
UTP6 BMS1
PSMD11 PSMC5
PSMD11 PSMC2
PSMD11 PSMB2
PSMD11 PSMD1
PSMD11 PSMB3
PSMD11 PSMD4
PSMD11 PSMB4
PSMD11 PSMB6
PSMD11 PSMC3
PSMD11 PSMD3
PSMD11 PSMD12
PSMD11 PSMD13
PSMD11 PSMA5
PSMD11 PSMB1
PSMD11 PSMD6
PSMD11 PSMD14
PSMD11 PSMA1
PSMD11 PSMA7
PSMD11 ADRM1
PSMD11 PSMC6
PSMD11 PSMD2
PSMD11 PSMB5
NAA25 NAA20
CDH1 FER
CDH1 CTNND1
CDH1 CTNNB1
CDH1 FYN
VAC14 PIKFYVE
PFDN1 VBP1
PFDN1 PFDN2
PFDN1 PFDN4
PFDN1 PFDN6
PFDN1 PFDN5
ANAPC5 ANAPC1
ANAPC5 ANAPC16
ANAPC5 CDC26
ANAPC5 CDC16
ANAPC5 ANAPC10
ANAPC5 FZR1
ANAPC5 ANAPC4
ANAPC5 ANAPC7
ANAPC5 CDC20
ANAPC5 ANAPC13
ANAPC5 CDC27
ANAPC5 CDC23
ANAPC5 BUB1B
ANAPC5 ANAPC2
GNB5 GNG5
GNB5 RGS7
GNB5 GNG7
GNB5 CCT5
GNB5 GNG4
GNB5 GNG2
GNB5 GNG3
AP4E1 AP4B1
APH1B PSENEN
APH1B PSEN1
APH1B PSEN2
APH1B NCSTN
TIPIN TIMELESS
TIPIN RPA2
SNX1 VPS29
RAB11A MYO5B
RAB11A RAB11FIP3
RAB11A RAB11FIP2
CCNT1 AFF4
CCNT1 CDK9
FLT4 VEGFC
FAF2 VCP
TUBGCP3 TUBGCP2
TUBGCP3 MZT1
MARS IARS
MARS EPRS
MARS QARS
MARS LARS
MARS AIMP1
MARS EEF1E1
ATP5B ATP5J2
ATP5B ATP5O
ATP5B ATP5G3
ATP5B ATP5A1
ATP5B ATP5H
ATP5B ATP5F1
ATP5B ATP5C1
PIK3C3 PIK3R4
PIK3C3 BECN1
MCM4 ORC4
MCM4 MCM6
MCM4 ORC5
MCM4 DBF4
MCM4 MCM10
MCM4 MCMBP
MCM4 CDC7
MCM4 MCM7
MCM4 ORC1
MCM4 CDC45
MCM4 MCM2
MCM4 CDT1
MCM4 MCM3
WDR59 MIOS
WDR59 WDR24
SMAD7 SMURF1
SMAD7 NEDD4L
SMAD2 ZFYVE9
RHEB RPTOR
RHEB MTOR
PSMB1 PSMB9
PSMB1 PSMC5
PSMB1 PSMC2
PSMB1 PSMD4
PSMB1 PSMB4
PSMB1 PSMD6
PSMB1 PSMA1
PSMB1 PSMC6
PSMB1 PSMA8
PSMB1 PSMB2
PSMB1 PSMD1
PSMB1 PSMB3
PSMB1 PSMB6
PSMB1 PSMC3
PSMB1 PSMD3
PSMB1 PSMD12
PSMB1 PSMB10
PSMB1 PSMD13
PSMB1 PSMA5
PSMB1 PSMD14
PSMB1 PSMB8
PSMB1 PSMA7
PSMB1 PSMD2
PSMB1 PSMB5
TMED2 TMED9
TMED2 TMED10
RCOR1 KDM1A
TCEB2 CUL5
TCEB2 TCEB1
TCEB2 CUL2
CHTF18 DSCC1
AXIN1 GSK3B
AXIN1 CTNNB1
CREBBP NCOA1
CREBBP CITED2
CREBBP TP53
CREBBP CREB1
CREBBP NCOA3
CREBBP RELA
ITGA2B ITGB3
DHX8 XAB2
DHX8 CRNKL1
DHX8 CDC40
GINS1 MCM7
GINS1 GINS4
GINS1 GINS3
RPL8 RPL28
RPL8 RPLP2
RPL8 RPS4X
RPL8 RPS17
RPL8 RPS28
RPL8 RPS3
RPL8 RPL39
RPL8 RPL7
RPL8 GNB2L1
RPL8 RPL3
RPL8 RPL27
RPL8 RPL7A
RPL8 RPL21
RPL8 RPL31
RPL8 RPL24
RPL8 RPL26L1
RPL8 FAU
RPL8 RPL4
RPL8 RPS15A
RPL8 RPS13
