CYP51A1 LSS
TIMM13 TIMM9
TIMM13 TIMM8A
TIMM13 TIMM10
SNAP29 VAMP8
SNAP29 STX17
SF3A1 SF3A3
SF3A1 SF3B1
SF3A1 CDC5L
SF3A1 SNRPA1
SF3A1 SF3A2
USP18 ISG15
SNRPD3 LSM8
SNRPD3 PRPF3
SNRPD3 PRPF8
SNRPD3 PRPF19
SNRPD3 SF3B1
SNRPD3 SNRPD2
SNRPD3 SNRPE
SNRPD3 PHF5A
SNRPD3 PRPF6
SNRPD3 CDC5L
SNRPD3 SNRPB
SNRPD3 EFTUD2
SNRPD3 LSM6
SNRPD3 SNRPA1
SNRPD3 SNRNP200
SNRPD3 SNRPG
SNRPD3 LSM3
SNRPD3 SART1
SNRPD3 SNRPF
SNRPD3 SNRPD1
SNRPD3 SNRNP70
SNRPD3 LSM7
SNRPD3 SNRPC
SNRPD3 SNRPB2
SNRPD3 LSM2
MAPK1 RPS6KA1
TOMM22 TOMM7
TOMM22 TOMM70A
RTCB C14ORF166
MCM5 MCM6
MCM5 ORC5
MCM5 ORC2
MCM5 RPA2
MCM5 MCMBP
MCM5 CDC7
MCM5 MCM7
MCM5 ORC6
MCM5 ORC1
MCM5 CDC45
MCM5 MCM2
MCM5 ORC3
MCM5 GINS2
MCM5 CDT1
MCM5 GINS4
MCM5 MCM3
MCM5 MCM4
CBX7 RNF2
TAB1 MAP3K7
EIF3D EIF3C
EIF3D EIF3G
EIF3D EIF3F
EIF3D EIF3B
EIF3D EIF3H
EIF3D EIF3I
EIF3D EIF3A
EIF3D EIF3E
EIF3D EIF3M
EIF3D EIF3K
EIF3D EIF3L
RBX1 CAND1
RBX1 CUL4B
RBX1 DDB1
RBX1 TCEB1
RBX1 SKP2
RBX1 CUL5
RBX1 DCUN1D1
RBX1 CUL1
RBX1 NEDD8
RBX1 UBE2M
RBX1 CUL4A
RBX1 SKP1
PHF5A SF3B5
PHF5A SF3B4
PHF5A SF3B3
PHF5A SF3B2
PHF5A LSM5
PHF5A SF3B1
PHF5A SNRPD2
PHF5A SNRPE
PHF5A PRPF31
PHF5A SNRPA1
PHF5A SNRPG
PHF5A SF3A2
PHF5A SNRPF
PHF5A SNRPD1
PHF5A SNRPB2
PAPOLA CSTF3
SNAPC1 SNAPC3
SNAPC1 SNAPC4
SUPT16H RTF1
SUPT16H SSRP1
GZMB PRF1
POLE2 POLE
ATP6V1D ATP6V1F
ATP6V1D ATP6V1C2
ATP6V1D ATP6V1E1
ATP6V1D ATP6V1B1
ATP6V1D ATP6V1A
ATP6V1D ATP6V1B2
ATP6V1D ATP6V1H
PSMA3 PSMB9
PSMA3 PSMC5
PSMA3 PSMC2
PSMA3 PSMD11
PSMA3 PSMD4
PSMA3 PSMB4
PSMA3 PSMA6
PSMA3 PSMB1
PSMA3 PSMD6
PSMA3 PSMA1
PSMA3 PSMB7
PSMA3 PSMC6
PSMA3 PSMA2
PSMA3 PSMB2
PSMA3 PSMD1
PSMA3 PSMB3
PSMA3 PSMB6
PSMA3 PSMC3
PSMA3 PSMD3
PSMA3 PSMD12
PSMA3 PSMB10
PSMA3 PSMD13
PSMA3 PSMA5
PSMA3 PSMD7
PSMA3 PSMD14
PSMA3 PSMB8
PSMA3 PSMA7
PSMA3 PSMC1
PSMA3 PSMD2
PSMA3 PSMB5
EIF5 EIF3G
NFKBIA NFKB1
NFKBIA IKBKB
AURKA CDK1
AURKA DLGAP5
AURKA CDC20
AURKA CCNB2
AURKA TPX2
AURKA TACC3
CSTF1 CSTF3
CSNK2A1 CSNK2B
CHMP4B CHMP3
CHMP4B CHMP1B
CHMP4B CHMP2A
CHMP4B ENSG00000249884
SLC32A1 GAD1
PIGU PIGT
PIGU PIGK
PIGU GPAA1
IDH3G IDH3A
PSMD10 PSMC5
PSMD10 PSMC2
PSMD10 PSMD11
PSMD10 PSMD4
PSMD10 PSMC6
PSMD10 PSMC3
PSMD10 PSMD3
PSMD10 PSMD12
PSMD10 PSMD13
PSMD10 PSMD14
PSMD10 PSMC1
PSMD10 PSMD2
STAG2 SMC3
STAG2 SMC1A
STAG2 RAD21
F9 SERPINC1
PQBP1 TXNL4A
MMP2 TIMP2
ORC6 CDC7
ORC6 MCM7
ORC6 ORC4
ORC6 ORC1
ORC6 ORC5
ORC6 ORC2
ORC6 ORC3
NUTF2 RAN
POLR2C POLR2J
POLR2C INTS6
POLR2C SUPT5H
POLR2C POLR2H
POLR2C POLR2E
POLR2C GTF2B
POLR2C POLR2B
POLR2C INTS5
POLR2C POLR2G
POLR2C POLR2L
POLR2C POLR2D
POLR2C INTS3
POLR2C POLR2I
POLR2C POLR2F
POLR2C POLR2K
POLR2C POLR2A
PSMD7 PSMC5
PSMD7 PSMC2
PSMD7 PSMD11
PSMD7 PSMD4
PSMD7 PSMB4
PSMD7 PSMA6
PSMD7 PSMB1
PSMD7 USP14
PSMD7 PSMD6
PSMD7 PSMA1
PSMD7 PSMB7
PSMD7 PSMC6
PSMD7 PSMA2
PSMD7 PSMB2
PSMD7 PSMD1
PSMD7 PSMB3
PSMD7 PSMB6
PSMD7 PSMC3
PSMD7 PSMD3
PSMD7 PSMD12
PSMD7 PSMD13
PSMD7 PSMA5
PSMD7 PSMD14
PSMD7 PSMB8
PSMD7 PSMA7
PSMD7 PSMC1
PSMD7 ADRM1
PSMD7 PSMD2
PSMD7 PSMB5
TSC2 TSC1
TSC2 RHEB
VPS18 VPS33A
VPS18 VPS16
VPS18 VPS41
VPS18 VPS11
AGO2 DICER1
AGO2 TNRC6A
BRF2 BDP1
PLAT SERPINE1
EIF3E RPS18
EIF3E EIF3C
EIF3E RPS3
EIF3E EIF3G
EIF3E EIF3CL
EIF3E EIF3F
EIF3E EIF3B
EIF3E RPSA
EIF3E RPS6
EIF3E RPS9
EIF3E EIF3H
EIF3E EIF3I
EIF3E EIF3A
EIF3E EIF3M
EIF3E EIF3K
EIF3E RPS10
EIF3E EIF3L
EMC2 EMC9
EMC2 EMC3
EMC2 EMC8
EMC2 EMC4
EMC2 EMC1
CHRAC1 POLE3
DCTN6 DCTN2
DCTN6 ACTR1A
DCTN6 DCTN4
TNFRSF10A CASP8
TNFRSF10A CASP10
TNFRSF10A CFLAR
TNFRSF10A TNFSF10
PPP2CB PPP2R1B
PPP2CB PPP2R1A
EXOSC5 EXOSC10
EXOSC5 SKIV2L2
EXOSC5 C1D
EXOSC5 EXOSC2
EXOSC5 EXOSC3
EXOSC5 EXOSC6
EXOSC5 MPHOSPH6
EXOSC5 DIS3
EXOSC5 EXOSC8
EXOSC5 EXOSC1
EXOSC5 DIS3L
EXOSC5 EXOSC9
EXOSC5 EXOSC4
EXOSC5 EXOSC7
PAF1 CTR9
PAF1 CDC73
PAF1 LEO1
HNRNPL HNRNPK
HNRNPL HNRNPA1
HNRNPL HNRNPA2B1
HNRNPL HNRNPC
HNRNPL HNRNPA0
HNRNPL PTBP1
HNRNPL HNRNPH1
RNASEH2A RNASEH2C
RNASEH2A RNASEH2B
SF3A2 SF3B5
SF3A2 SF3A3
SF3A2 SF3B6
SF3A2 SF3B4
SF3A2 SF3B3
SF3A2 SF3B2
SF3A2 DDX46
SF3A2 SF3B1
SF3A2 SNRPD2
SF3A2 SNRPA1
SF3A2 DDX42
FBL NOP56
FBL BOP1
FBL NOL6
FBL RRP9
FBL RPS5
FBL TBL3
FBL DKC1
FBL NOP58
FBL NHP2L1
POLR2I POLR2G
POLR2I SUPT4H1
POLR2I POLR2J
POLR2I POLR2L
POLR2I POLR2D
POLR2I GTF2F2
POLR2I POLR2H
POLR2I POLR2F
POLR2I POLR2E
POLR2I POLR2K
POLR2I GTF2B
POLR2I POLR2B
POLR2I TCEA1
POLR2I POLR2A
CDC37 HSP90AA1
EPOR EPO
RPL18A RPL28
RPL18A RPS18
RPL18A RPLP2
RPL18A RPS4X
RPL18A RPL13
RPL18A RPS17
RPL18A RPS28
RPL18A RPS3
RPL18A RPL34
RPL18A RPL39
RPL18A RPL7
RPL18A GNB2L1
RPL18A RPS3A
RPL18A RPL11
RPL18A RPL3
RPL18A RPL10
RPL18A RPL27
RPL18A RPL7A
RPL18A RPL21
RPL18A RPL31
RPL18A RPL24
RPL18A RPSA
RPL18A RPS29
RPL18A RPL27A
RPL18A FAU
RPL18A RPL23A
RPL18A RPL4
RPL18A RPL30
RPL18A RPS24
RPL18A RPS27A
RPL18A RPL35
RPL18A RPL8
RPL18A RPS15A
RPL18A RPL23
RPL18A RPS6
RPL18A RPS13
RPL18A RPL10L
RPL18A RPL36
RPL18A RPL38
RPL18A RPS9
RPL18A RPL37A
RPL18A RPL35A
RPL18A RPS23
RPL18A RPL36A
RPL18A RPL32
RPL18A RPS7
RPL18A RPL10A
RPL18A RPS25
RPL18A RPS14
RPL18A RPL5
RPL18A RPL15
RPL18A RPS16
RPL18A RPS12
RPL18A RPS20
RPL18A RPL22
RPL18A RPL17
RPL18A RPS21
RPL18A RPLP0
RPL18A RPLP1
RPL18A RPL14
RPL18A RPL12
RPL18A RPL9
RPL18A RPS8
RPL18A RPS27
RPL18A EEF2
RPL18A RPL13A
RPL18A UBA52
RPL18A RPS10
RPL18A RPL18
RPL18A RPL19
RPL18A RPL26
RPL18A RPS26
RPL18A RPL37
RPL18A RPS2
RPL18A RPS19
RPL18A RPL29
RPL18A RPS15
RPL18A RPS5
RPL18A RPS11
RPL18A RPL6
HGF MET
TWISTNB POLR1B
TWISTNB POLR1A
TWISTNB POLR1C
TWISTNB POLR1D
OGDH DLST
STX1A SNAP23
STX1A SYT1
STX1A SNAP25
STX1A STXBP1
WASL CDC42
WASL WIPF3
WASL WIPF1
AIMP2 AIMP1
AIMP2 EEF1E1
AIMP2 EPRS
AIMP2 KARS
SERPINE1 PLAU
RPA3 RAD52
RPA3 CLSPN
RPA3 TIMELESS
RPA3 TOP3A
RPA3 MCM2
RPA3 RPA1
RPA3 TIPIN
RPA3 RMI1
RPA3 RPA2
RPA3 BLM
RPA3 WRN
PSMA2 PSMB9
PSMA2 PSMC5
PSMA2 PSMC2
PSMA2 PSMB2
PSMA2 PSMD1
PSMA2 PSMD11
PSMA2 PSMB3
PSMA2 PSMD4
PSMA2 PSMB4
PSMA2 PSMB6
PSMA2 PSMC3
PSMA2 PSMD3
PSMA2 PSMD12
PSMA2 PSMB10
PSMA2 PSMD13
PSMA2 PSMA6
PSMA2 PSMA5
PSMA2 PSMB1
PSMA2 PSMD6
PSMA2 PSMD14
PSMA2 PSMA1
PSMA2 PSMB8
PSMA2 PSMA7
PSMA2 PSMB7
PSMA2 PSMC1
PSMA2 PSMC6
PSMA2 PSMA8
PSMA2 PSMD2
PSMA2 PSMB5
MRPL32 MRPL19
MRPL32 MRPL11
MRPL32 MRPL9
MRPL32 MRPL47
MRPL32 MRPS9
MRPL32 MRPL15
MRPL32 MRPL27
MRPL32 MRPL40
